Tag,Content
h2,Areas of cooperation with Saudi Arabia identified: PM Shehbaz
h2,IMF endorses status quo in SBP’s policy rate
h2,Exports to Europe fall despite GSP+
h2,Heroic welcome for hockey team in Lahore after winning silver medal in Azlan Shah Cup
h2,"Fight till the last ball, PCB chief tells cricket team in Dublin"
h2,FIFA’s foul on Pakistan football
h2,"Bednarek storms to 200m triumph in Doha, Neeraj Chopra falls short"
h2,Real Madrid eagerly awaits Mbappe after PSG exit confirmed
h2,Djokovic bottle strike overshadows Rome Open cruise past Moutet
h2,Second night of auroras seen amid ‘extreme’ solar storm
h2,Canada arrests fourth Indian national in killing of Sikh activist
h2,Israel orders Palestinians to evacuate from more areas of Rafah
h2,UAE hits out at Netanyahu for saying it may help run Gaza
h2,Washington says use of its weapons by Tel Aviv in Gaza violated law
h2,Delhi CM Kejriwal exhorts Indians to resist ‘dictatorship’
h2,"Men must take the lead in standing up against sexual harassment, says Hamza Ali Abbasi"
h2,We asked moms what they want for Mother’s Day — no it isn’t kurtas and candles
h2,Going loco for local: Jugnu’s Chief Saab candle is the ultimate Karachi kid nostalgia
h2,Fistula and child marriages: The two epidemics plaguing women in Gilgit-Baltistan
h2,2024 Elections: What’s at stake for India’s minorities?
h2,From screens to streets: How Gen Z is disrupting the status quo and redefining activism
h2,"Art group employs brainwaves, AI to  recreate landscapes"
h2,Pakistan’s iCube-Qamar beams back first images from moon’s orbit
h2,"People with two copies of a risk gene have genetic form of Alzheimer’s, say scientists"
h2,FIFA’S FOUL ON PAKISTAN FOOTBALL
h2,ESSAY: WE’RE READY FOR YOUR CLOSE-UP NOW
h2,FOOTBALL: GIRLS KICKING MOUNTAINS
h2,STYLE; ALL ABOUT MY MOTHER
h2,"SOUNDSCAPE: AND NOW, AI MUSIC"
h2,THE GRAPEVINE
h2,Packaging film sector on the rise
h2,Tax reforms — easier than expected
h2,Wheat’s tricky procurement
h2,Echoes of love
h2,Mailbox
h2,Mother’s Day: A letter to my mum
h2,Challenges working mothers face in the corporate sector
h2,"Samiya Mumtaz: “To act commercially felt like I was selling my soul to earn, but I put myself out there.”"
h2,How digitisation can affect agri-financing
h2,State Grid Anhui Electric Power Research Institute uses digital tools to prevent floods
h2,2024 Zambia-China Culture and Tourism Year kicks off in Beijing
h2,Onus on US to stop Gaza conflict and grant Palestine full UN membership
h2,State Grid Anhui Electric Power Research Institute uses digital tools to prevent floods
h2,2024 Zambia-China Culture and Tourism Year kicks off in Beijing
h2,Onus on US to stop Gaza conflict and grant Palestine full UN membership
p,Compunode.com Pvt. Ltd. (www.compunode.com).Designed forDawn.
p,"Copyright © 2024, Dawn"
p,NewsKit Publishing Platform
h2,Russia blames Ukraine after blast destroys apartments
p,At least two people are said to have been killed after a section of a 10-storey block collapsed in Belgorod.
h2,UK arms ban for Israel would help Hamas - Cameron
p,Foreign Secretary David Cameron tells the BBC the UK should focus on getting humanitarian aid into Gaza.
h2,Russia blames Ukraine after blast destroys apartments
p,At least two people are said to have been killed after a section of a 10-storey block collapsed in Belgorod.
h2,UK arms ban for Israel would help Hamas - Cameron
p,Foreign Secretary David Cameron tells the BBC the UK should focus on getting humanitarian aid into Gaza.
h2,"The Russians simply walked in, Ukrainian troops in Kharkiv tell BBC"
p,The BBC's Jonathan Beale meets front-line soldiers battling Russia's new incursion in north-east Ukraine.
h2,Virginia university students walk out of graduation event
p,"Dozens of VCU grads left during Gov Glenn Youngkin's speech, in part over his comments on campus protests."
h2,"Tourists, history seekers and a puppet: Meet the Trump trial devotees"
p,Dozens stand in line in the early morning for a glimpse at the first criminal trial of a former US president.
h2,Cult movie director Roger Corman dies aged 98
p,"Jack Nicholson, Charles Bronson and Robert De Niro were some of the actors whose careers he helped develop."
h2,How Kendrick Lamar and Drake changed rap beefs forever
p,Rapid-fire releases and fast pace of modern life elevate diss war to levels unparalleled in hip-hop history.
h2,Only from the BBC
h2,China's grand ambition for space
p,China's Chang'e-6 mission is intended to bring back lunar samples but is also a stepping stone to much more ambitious space exploration.
h2,In pictures: Top moments from Eurovision Song Contest 2024
p,"Skimpy costumes, wacky performances and furious flag-waving... it can only be Eurovision."
h2,More news
h2,The man who took on the coal industry to save a forest - and won
p,Alok Shukla has spent years fighting to protect a key Indian forest from mining companies.
h2,The escaped dissident still pursued decades on by China
p,"Yan Xiong escaped from China in 1992, but he and other dissidents are still being targeted by Beijing."
h2,Harry and Meghan visit school on last day in Nigeria
p,Prince Harry played basketball with a group of school students in Nigeria's most populated city.
h2,India court grants bail to jailed opposition leader
p,The Delhi chief minister was arrested in March in a corruption case - he denies the allegations.
h2,Domestic tourism soars in China but foreigners stay away
p,Foreign visitor numbers are sharply down amid concerns about the political environment.
h2,The escaped dissident still pursued decades on by China
p,"Yan Xiong escaped from China in 1992, but he and other dissidents are still being targeted by Beijing."
h2,Man who received first pig kidney transplant dies
p,The US hospital which carried out the operation said Rick Slayman's death was not a result of the transplant.
h2,Why Modi's party is not fighting elections in Kashmir
p,This is the first general election since India ended the special status of Kashmir in 2019.
h2,Shein suppliers still work 75-hour weeks - report
p,A Swiss pressure group says some staff at Shein suppliers are still working excessive overtime.
h2,Harry and Meghan visit school on last day in Nigeria
p,Prince Harry played basketball with a group of school students in Nigeria's most populated city.
h2,Must watch
h2,Northern Lights captured glowing over the UK
p,"Time-lapse video shows swirls of green, pink and scarlet moving across the night sky in Nottingham."
h2,Djokovic dons a helmet after being hit by bottle
p,The tennis player was accidentally struck in the head with a hard bottle that fell from a fan's backpack.
h2,A visit to one of Antarctica's stunning penguin colonies
p,Marc Cieslak finds out how gentoo penguins are adapting to a warming climate.
h2,Israeli ambassador shreds UN charter with tiny shredder
p,Gilad Erdan condemned the passing of a resolution enhancing Palestine's rights within the organisation.
h2,What to expect from Michael Cohen at Trump trial
p,"The BBC's Nada Tawfik looks ahead to Monday, when Donald Trump's former lawyer witll take the stand."
h2,Island fights back grey squirrel invasion
p,A conservationist is on a mission to keep a Welsh island a sanctuary for native red squirrels.
h2,Business
h2,Is social media worth paying for?
h2,Earth
h2,In pictures: Northern Lights dazzle around the world
h2,Israel-Gaza War
h2,UK arms ban for Israel would help Hamas - Cameron
h2,"UK arms exports change would make Hamas stronger, says Cameron"
h2,UK investigates Hamas claim hostage killed in Gaza
h2,Israel orders more evacuations as Rafah fighting intensifies
p,The Israeli military tells thousands of Palestinians to leave the city as it expands its military operation.
h2,War in Ukraine
h2,Russia blames Ukraine after blast destroys apartments
h2,"The Russians simply walked in, Ukrainian troops in Kharkiv tell BBC"
h2,Russian apartments collapse after explosion
h2,Hundreds flee Ukraine border area after Russia attack
p,Evacuations are under way in the Kharkiv area as fighting continues after Friday's surprise incursions.
h2,US and Canada news
h2,Man who received first pig kidney transplant dies
h2,"Tourists, history seekers and a puppet: Meet the Trump trial devotees"
h2,Virginia university students walk out of graduation event
h2,Thousands evacuated due to British Columbia wildfire
p,"Fort McMurray residents in neighbouring Alberta, Canada are also under an evacuation alert due to a blaze."
h2,Asia news
h2,The man who took on the coal industry to save a forest - and won
h2,The escaped dissident still pursued decades on by China
h2,Hundreds feared dead in Afghanistan flash flooding
h2,Attacks on players mar start of Malaysia soccer season
p,"Three members of the national team suffer separate assaults, leaving police and fans baffled."
h2,This is what it's like inside a black hole
h2,Australia news
h2,Chainsaw vandals hack at trees to get better Sydney harbour view
h2,"Australia tries to stop a violence against women 'epidemic', starting with schools"
h2,"Men's T20 World Cup squads including England, India & Australia"
h2,Australia backs gas beyond 2050 despite climate fears
p,The policy comes despite global calls to drastically phase out fossil fuels to reach climate targets.
h2,UK news
h2,Thunderstorm warning after hottest day this year
h2,"'My mistakes are my own,' says Zahawi on tax affairs"
h2,UK arms ban for Israel would help Hamas - Cameron
h2,"UK arms exports change would make Hamas stronger, says Cameron"
p,The UK's foreign secretary has said there are no plans to copy the US and potentially stop some arms sales to Israel.
h2,Middle East news
h2,UK arms ban for Israel would help Hamas - Cameron
h2,UK investigates Hamas claim hostage killed in Gaza
h2,Woman makes history in gruelling desert challenge
h2,Israel orders more evacuations as Rafah fighting intensifies
p,The Israeli military tells thousands of Palestinians to leave the city as it expands its military operation.
h2,Africa news
h2,Tunisia lawyer arrested during live news broadcast
h2,Children killed as bomb falls near Sudan hospital - MSF
h2,"Ghana, Nigeria and the quest for UK looted treasure"
h2,How crops are being disaster-proofed
p,Scientists are creating hardier crops by cross-breeding wild varities and tweaking crop genes.
h2,Sport
h2,Championship play-offs: West Brom 0-0 Southampton - both sides go close to opener
h2,Business
h2,Is social media worth paying for?
h2,Protesters attempt to storm Germany's Tesla factory
h2,UK exits recession with fastest growth in two years
h2,UK PM says it'll take time for people to feel better
p,"The prime minister says ""there is more work to do"" as the UK emerges from recession."
h2,Technology
h2,The photographer capturing 'stranger portraits'
h2,How sci-fi writer JG Ballard predicted ChatGPT
h2,Ros Atkins on... How different countries protect children online
h2,Test-at-home kit for cancer patients approved for use in UK
p,Patients say the device allows them to reduce the number of hospital visits involved in cancer care.
h2,Culture
h2,Cult movie director Roger Corman dies aged 98
h2,Stars line red carpet for Bafta TV Awards
h2,Switzerland's Nemo wins Eurovision as UK comes 18th
h2,Dutch contestant disqualified from Eurovision
p,"The singer, Joost Klein, had been among the favourites to win the contest in Malmö, Sweden."
h2,Sport
h2,No changes to championship during my term - Burns
h2,Djokovic out of Italian Open after defeat by Tabilo
h2,'I'm in shock' - English teenager Gill breaks 45-year-old record
h2,'What a hit!' Toone screamer gives Man Utd final lead
p,Watch as Ella Toone scores a screamer to put Manchester United into the lead against Tottenham Hotspur in the Women's FA Cup final at Wembley.
h2,Sign up for our newsletters
h2,The Essential List
p,"The week's best stories, handpicked by BBC editors, in your inbox every Tuesday and Friday."
h2,US Election Unspun
p,Cut through the spin with North America correspondent Anthony Zurcher - in your inbox every Wednesday.
h2,In History
p,"Discover the headlines from this week in history. See the past come to life through the BBC's unique archive, in your inbox every Thursday."
h2,Earth
h2,In pictures: Northern Lights dazzle around the world
h2,Hundreds feared dead in Afghanistan flash flooding
h2,Fight to save African penguin goes to law
h2,Brazil floods drive thousands from their homes
p,"Heavy rains wreak havoc in southern Brazil, leaving many homeless and raising fears of further chaos."
h2,Science and health
h2,Northern Lights stun UK in spectacular display
h2,Northern Lights captured glowing over the UK
h2,'I feel embarrassed to be addicted': Why young people still take up smoking
h2,This is what it's like inside a black hole
p,A black hole is a region of space with such strong gravity not even light can escape.
h2,World’s Table
h2,A time-honoured guacamole lookalike
h2,How brewers are reviving ancient beers
h2,A new take on matzah ball soup
h2,The wines birthed from black volcanic craters
p,"In Spain's Lanzarote Island, conical hollows built into layers of volcanic ash yield wines that have been created from generations of ingenuity and hard work."
h2,Travel
h2,An insider's guide to San Francisco's Mission District
h2,A paradise island with a reputation for witchcraft
h2,A solution for working parents who want to travel
h2,A Michelin-starred chef's weekend in Marseille
p,"Celebrity chef Alexandre Mazzia will be a torchbearer when the Paris 2024 Olympics kick off in his hometown of Marseille. Here is his guide to the city, from sunsets to seafood."
p,Copyright 2024 BBC. All rights reserved.TheBBCisnot responsible for the content of external sites.Read about our approach to external linking.
p,
